Frame Index Pair,Magnitude Peak Frequency,Magnitude Peak Value,Angle Peak Frequency,Angle Peak Value
1-2,0,0,24555,1.5
2-3,0,0,17638,181.5
3-4,0,0,27227,196.5
4-5,0,0,25547,181.5
5-6,0,0,22363,1.5
6-7,0,0,17994,268.5
7-8,732034,1.1513772010803223,108633,105.5
8-9,1837450,15.50989055633545,1825430,89.5
9-10,1939331,15.674134254455566,1674051,271.5
10-11,0,0,0,0
11-12,0,0,17158,180.5
12-13,0,0,0,0
13-14,0,0,14795,181.5
14-15,0,0,13957,356.5
15-16,0,0,26717,81.5
16-17,0,1.49609375,0,0.5
17-18,0,0,14894,181.5
18-19,0,0,39678,357.5
19-20,2006,2.3097774982452393,1370,7.5
20-21,1551,2.83447265625,797,186.5
21-22,0,0,890,266.5
22-23,0,0,1814,56.5
23-24,0,0,1133,181.5
24-25,0,0,1615,272.5
25-26,0,0,1510,186.5
26-27,0,0,1444,273.5
27-28,990,8.454593658447266,1222,276.5
28-29,0,0,1662,179.5
29-30,0,0,2577,358.5
30-31,0,0,1108,7.5
31-32,0,0,2029,273.5
32-33,10491,16.85593032836914,14513,89.5
33-34,0,0,1557,274.5
34-35,9174,16.078601837158203,23373,267.5
35-36,2192,3.8962337970733643,1427,6.5
36-37,0,0,1542,273.5
37-38,12913,13.742527961730957,21906,89.5
38-39,10482,13.925283432006836,22585,270.5
39-40,0,0,2289,271.5
40-41,1471,5.855295181274414,1606,272.5
41-42,827,1.0919864177703857,932,7.5
42-43,0,0,1463,267.5
43-44,0,0,2711,276.5
44-45,0,0,2225,271.5
45-46,0,0,1580,7.5
46-47,599,4.556780815124512,1569,269.5
47-48,0,0,1091,187.5
48-49,11331,16.682758331298828,22667,89.5
49-50,8919,1.2757110595703125,3257,261.5
50-51,0,0,1427,275.5
51-52,12159,15.37530517578125,16654,269.5
52-53,286,6.158609390258789,1433,272.5
53-54,0,0,804,6.5
54-55,0,0,1188,6.5
55-56,6229,14.665485382080078,20784,88.5
56-57,10008,15.217556953430176,22481,269.5
57-58,0,0,939,271.5
58-59,0,0,1653,186.5
59-60,22711,13.964740753173828,25327,91.5
60-61,98851,1.58890962600708,18248,174.5
61-62,277303,15.519506454467773,169417,270.5
62-63,0,0,34089,355.5
63-64,0,0,130289,108.5
64-65,0,0,12819,6.5
65-66,0,0,9533,269.5
66-67,0,0,12535,89.5
67-68,0,0,11333,276.5
68-69,0,0,5773,93.5
69-70,0,0,13181,269.5
70-71,0,0,11447,273.5
71-72,0,0,7498,280.5
72-73,0,0,4227,179.5
73-74,0,0,34664,86.5
74-75,0,0,6360,180.5
75-76,1798007,1.2825736999511719,199712,61.5
76-77,1304436,1.3524999618530273,240473,224.5
77-78,0,0,7509,359.5
78-79,2428146,20.0975341796875,1740108,89.5
79-80,2457723,19.796993255615234,1589551,268.5
80-81,0,0,45709,153.5
81-82,0,0,21866,17.5
82-83,0,0,26518,272.5
83-84,2228114,22.807781219482422,2215825,87.5
84-85,2549315,23.03668212890625,1993370,268.5
85-86,0,0,4553,86.5
86-87,0,0,18715,316.5
87-88,1168769,1.1859242916107178,241100,121.5
88-89,0,0,5015,180.5
89-90,0,0,2384,91.5
90-91,0,0,7782,89.5
91-92,0,0,4759,269.5
92-93,0,0,2317,272.5
93-94,1588978,19.928028106689453,1754126,88.5
94-95,2320770,20.637001037597656,2433335,268.5
95-96,1512216,20.475894927978516,2036877,89.5
96-97,2229728,19.073001861572266,1960176,270.5
97-98,0,0,8748,280.5
98-99,0,0,0,0
99-100,0,0,2731,179.5
